Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Image
"OUKITEL C1 Android 15 Cell Phone Unlocked 2025-16GB+128GB(TF 1TB), 6.52'' Waterdrop Screen, 5150mAh Battery Smartphone, 13MP Camera Octa Core, 4G Triple SIM, Fingerprint/3.5mm Jack/GPS,Blue",4.5,190.0,Cell Phones & Accessories,Cell Phones,OUKITEL,106.0,-0.11,https://m.media-amazon.com/images/I/81bn-K--I8L._AC_SX679_.jpg
SAMSUNG Galaxy S9+ 64GB Smartphone - Midnight Black - Carrier Unlocked (Renewed),4.1,159.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,56.0,,https://m.media-amazon.com/images/I/71iEeXihiyL._AC_SX522_.jpg
"SAMSUNG Galaxy S24 FE AI Phone, 128GB Fully Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, Graphite (Renewed)",4.1,131.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,106.0,,https://m.media-amazon.com/images/I/61uakkLoHxL._AC_SX679_.jpg
Unihertz Jelly Max Unique Smartphone 5G Android 14 66W Fast Charging12GB RAM 256GB ROM 100MP Compatible with T-Mobile and Verizon only,,,Cell Phones & Accessories,Cell Phones,Unihertz,319.0,,https://m.media-amazon.com/images/I/51FxPmC-cBL._AC_SX679_.jpg
"OnePlus 13,16GB RAM + 512GB Storage, Dual-SIM,Unlocked Android Smartphone, Snapdragon 8 Elite, 80W SUPERVOOC Fast Charging & 50W AIRVOOC Charging, Advanced Hasselblad Camera, 2025, Arctic Dawn",4.5,127.0,Cell Phones & Accessories,Cell Phones,OnePlus,929.0,-0.07,https://m.media-amazon.com/images/I/81YvgN0CcdL._AC_SX679_.jpg
"OUKITEL G1 Rugged Smartphone Unlocked - 24+256GB/1TB Android 14 Rugged Cellphones, 6.52” HD Display IP68/IP69K 10600mAh Battery 48MP Rear Camera Waterproof Phone, Fingerprint/Dual Sim/NFC 2025",4.2,1137.0,Cell Phones & Accessories,Cell Phones,OUKITEL,199.0,,https://m.media-amazon.com/images/I/919aLPXSUyL._AC_SX679_.jpg
"SAMSUNG Galaxy S25 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, Long Battery Life, 2025, Titanium Black (Renewed)",4.3,41.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,719.0,,https://m.media-amazon.com/images/I/61n0lmxP5-L._AC_SX679_.jpg
SAMSUNG Galaxy S22 5G SM-S901B/DS 128GB 8GB Dual SIM Factory Unlocked GSM Smartphone - International Version (Phantom Black),4.2,330.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,259.0,,https://m.media-amazon.com/images/I/71SM3ocOODL._AC_SX679_.jpg
"KOKODI Kids Smart Phone, Touchscreen HD Dual Camera Cell Phone for Kids, Christmas Birthday Gifts Dinosaur Toddler Play Phone for Boys 3-10, Travel Toy Preschool Learning Education Toy",4.5,3005.0,Toys & Games,Pretend Phones & Smartphones,,29.0,-0.25,https://m.media-amazon.com/images/I/5161GbqTokL._AC_.jpg
"Google Pixel 6 5G, US Version, 128GB, Stormy Black - Unlocked (Renewed)",4.1,2419.0,Cell Phones & Accessories,Cell Phones,Google,129.0,,https://m.media-amazon.com/images/I/61ruKkvVIxL._AC_SX679_.jpg
SAMSUNG Galaxy ​S25 Ultra 5G 2025 (International Version) | GSM Unlocked (T-Mobile) | ​1TB ​Storage​ + 12GB RAM SM-S938B ​Qualcomm Snapdragon 8 Elite Android 15 Smartphone (Titanium Grey),4.6,83.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1185.0,,https://m.media-amazon.com/images/I/51fD+MRyTFL._AC_SX679_.jpg
"Nothing Phone (3a) Smartphone, 6.77"" 120Hz AMOLED Display, 50MP Triple Camera System, Snapdragon 7s Gen3 Processor, Bluetooth 5.4, IP64 Waterproof, 5000mAh,Dual Nano-SIM, Android 15, 8+128GB White",4.5,45.0,Cell Phones & Accessories,Cell Phones,Nothing,329.0,-0.11,https://m.media-amazon.com/images/I/71b3HI25YgL._AC_SX679_.jpg
ONEPLUS OnePlus 10 Pro | 5G Android Smartphone | 8GB+128GB | T-Mobile Unlocked | Triple Camera co-Developed with Hasselblad | Volcanic Black,4.3,1678.0,Cell Phones & Accessories,Cell Phones,OnePlus,319.0,,https://m.media-amazon.com/images/I/71YLENBvceL._AC_SX522_.jpg
Google Pixel Fold - Unlocked Android 5G Smartphone with Telephoto Lens and Ultrawide Lens - Foldable Display - 24-Hour Battery - Obsidian - 256 GB (Renewed),4.1,295.0,Cell Phones & Accessories,Cell Phones,Google,106.0,,https://m.media-amazon.com/images/I/61sOr+JpqyL._AC_SX679_.jpg
Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 4/128GB | 50 MPCamera | Mineral Black,4.2,1968.0,Cell Phones & Accessories,Cell Phones,Motorola,147.0,,https://m.media-amazon.com/images/I/617-hV4-qpL._AC_SX679_.jpg
"SAMSUNG Galaxy A16 4G (SM-A165M/DS), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (25W Power Adapter Bundle) - (Light Green)",4.1,108.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,139.0,,https://m.media-amazon.com/images/I/51xZ48gn4VL._AC_SX679_.jpg
"TCL 40 XE 5G (Spectrum Unlocked) - 6.56"" HD+ Display, 5G Connectivity, 5000mAh Battery, 4GB RAM + 64GB Storage, Android Smartphone",4.0,36.0,Cell Phones & Accessories,Cell Phones,TCL,89.0,,https://m.media-amazon.com/images/I/41u4utv5peL._AC_SX679_.jpg
Samsung Galaxy S23 5G Factory Unlocked 128GB - Phantom Black (Renewed),4.1,584.0,Cell Phones & Accessories,Cell Phones,Samsung,234.0,-0.18,https://m.media-amazon.com/images/I/51ngAkKqflL._AC_SX679_.jpg
"Ulefone Armor 34 Pro 5G Rugged Smartphone with 150 Lumens Projector, 32GB+512GB ROM/2TB, 25500mAh 66W, Android 15, 6.95"" 120Hz, 64MP+50MP+50MP 32MP, 1100LM LED Light/Waterproof/NFC/Dual 5G/Widevine L1",4.9,21.0,Cell Phones & Accessories,Cell Phones,Ulefone,699.0,,https://m.media-amazon.com/images/I/81VKcVJr1lL._AC_SX466_.jpg
"OUKITEL WP56 5G Rugged Smartphone Unlocked - 36GB+512GB/2TB Android 15 Rugged Phone,16000mAh Battery, 1000-Lumen Camping Light, 6.8"" FHD+ 120Hz,108MP Camera,128dB Loud Speaker Waterproof, NFC/GPS/OTG",4.8,46.0,Cell Phones & Accessories,Cell Phones,OUKITEL,399.0,,https://m.media-amazon.com/images/I/81jwpBIkWDL._AC_SX679_.jpg
Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),3.9,3825.0,Cell Phones & Accessories,Cell Phones,Samsung,259.0,,https://m.media-amazon.com/images/I/71Eh6YWqqyL._AC_SY679_.jpg
"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Navy",4.5,1193.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,199.0,,https://m.media-amazon.com/images/I/71YwZXmVcEL._AC_SX679_.jpg
"OUKITEL WP53 Pro Rugged Phone Unlocked Android 15-24GB+256GB Rugged Smartphone with Camping Light, 11000mAh Battery 128dB Louder Speaker, 6.52"" HD+ Phone, 50MP Main Camera Waterproof Cell Phone NFC",5.0,30.0,Cell Phones & Accessories,Cell Phones,OUKITEL,219.0,-0.19,https://m.media-amazon.com/images/I/81C-fKo2dvL._AC_SX679_.jpg
"Nothing Phone (3) Cell Phone, 2025 New 5G Unlocked Phones 256GB, Android 15, Snapdragon 8s Gen4, AI Mobile Phones with Four 50MP Cameras & AMOLED Display, 5150mAh, Glyph Interface, Smartphone Black",4.7,16.0,Cell Phones & Accessories,Cell Phones,Nothing,719.0,-0.1,https://m.media-amazon.com/images/I/61YbN9tT88L._AC_SX679_.jpg
"SAMSUNG Galaxy S24 Ultra 5G, US Version, 512GB, Titanium Black - Unlocked (Renewed)",4.2,627.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1069.0,,https://m.media-amazon.com/images/I/71WcjsOVOmL._AC_SX679_.jpg
"OnePlus 12 Unlocked Android Phone — Snapdragon 8 Gen 3 Phone w/ 16GB RAM, Hasselblad Camera, Dual SIM, 2K 120Hz ProXDR Display, 5400mAh Battery, SUPERVOOC Charging, OxygenOS (512GB, Flowy Emerald)",4.6,849.0,Cell Phones & Accessories,Cell Phones,OnePlus,729.0,-0.19,https://m.media-amazon.com/images/I/71tRpVJeMcL._AC_SX679_.jpg
"DOOGEE S200 Rugged Smartphone 5G Unlocked, 32GB+256GB Android 14 Rugged Phone with 1.32"" Rear Screen, 10100mAh Battery, 100MP+20MP Night Vision Camera, 6.72"", 120Hz, NFC, 5G Dual SIM, ATT, Verizon",4.2,396.0,Cell Phones & Accessories,Cell Phones,DOOGEE,349.0,,https://m.media-amazon.com/images/I/71KtN+WK+5L._AC_SX679_.jpg
"SAMSUNG Galaxy S23+ Plus 5G, US Version, 512GB, Phantom Black - Unlocked (Renewed)",4.2,653.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,339.0,-0.26,https://m.media-amazon.com/images/I/51-PdNy2RqL._AC_SX569_.jpg
"Blackview BV6200Plus Rugged Phone Android 15, 98dB Super Speaker 11000mAh, 24GB+256GB/2TB Rugged Smartphone Unlocked, 6.56"" HD+ 90Hz Waterproof Phone 2025 NFC/Fingerprint/GPS/T-moblie/IP69K/3 Slots",4.1,122.0,Cell Phones & Accessories,Cell Phones,Blackview,199.0,-0.16,https://m.media-amazon.com/images/I/71g7Sl5Rf7L._AC_SX679_.jpg
BLU F5| 5G | 2024 | All-Day Battery | Unlocked | 6.6” HD+ Display | 128GB | Dual 50MP | US Version | Green,3.9,116.0,Cell Phones & Accessories,Cell Phones,BLU,99.0,-0.15,https://m.media-amazon.com/images/I/81jcsTp1EYL._AC_SX679_.jpg
Honor 400 Pro Dual-SIM 512GB ROM + 12GB RAM (GSM Only | No CDMA) Factory Unlocked 5G Smartphone (Lunar Grey) - International Version,5.0,6.0,Cell Phones & Accessories,Cell Phones,Honor,869.0,,https://m.media-amazon.com/images/I/51mCHUys-ML._AC_SX679_.jpg
"Motorola Moto Edge 50 Fusion 5G (XT2429-1) Dual Sim | GSM Unlocked | 6.7"" P-OLED 120Hz Display | 8GB Ram 256GB Storage - International Version - (Green)",4.3,162.0,Cell Phones & Accessories,Cell Phones,Motorola,262.0,-0.2,https://m.media-amazon.com/images/I/51jEUCE7e0L._AC_.jpg
"Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)",3.6,2292.0,Cell Phones & Accessories,Cell Phones,Alcatel,54.0,,https://m.media-amazon.com/images/I/81wN2woIouL._AC_SX679_.jpg
"SAMSUNG Galaxy S23 Ultra 5G, US Version, 512GB, Lavender - Unlocked (Renewed)",4.2,1046.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,178.0,,https://m.media-amazon.com/images/I/517mLWWU8XL._AC_SX679_.jpg
"OUKITEL WP300 5G Rugged Smartphone Unlocked Android 15-36GB+512GB/2TB Rugged Phone, 6.8''FHD+ Display 108MP Rear Camera 16000mAh(45W) Battery Waterproof Cell Phones, IP68/IP69K/NFC/WiFi6",5.0,6.0,Cell Phones & Accessories,Cell Phones,OUKITEL,429.0,-0.14,https://m.media-amazon.com/images/I/91uvIOl13ZL._AC_SX679_.jpg
"Samsung Galaxy Z Flip7 Cell Phone, 256GB AI Smartphone, Unlocked Android, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Blue Shadow",4.6,106.0,Cell Phones & Accessories,Cell Phones,Samsung,949.0,-0.14,https://m.media-amazon.com/images/I/61t-h3yf0CL._AC_SX679_.jpg
"DOOGEE Note 58 Android 15 Unlocked Cellphone,32GB+128GB/2TB Expand Cell Phone with 6.75"" HD+ Waterdrop Screen, 6250mah Battery,4G Dual Sim Unlocked Smartphone,Widevine L1/NFC/OTG/Face Unlock, Black",4.1,556.0,Cell Phones & Accessories,Cell Phones,DOOGEE,115.0,-0.23,https://m.media-amazon.com/images/I/71sDOyul7lL._AC_SX679_.jpg
"Xiaomi 14T Pro Ai 5G (512GB+12GB) Nfc Global Unlocked Worldwide (Tmobile Mint Tello Global) 50MP Triple Pro Leica Camera 6.67"" 144Mhz (Titan Blue)",4.5,117.0,Cell Phones & Accessories,Cell Phones,XIAOMI,615.0,,https://m.media-amazon.com/images/I/71PeWsSg4oL._AC_SX522_.jpg
"DOOGEE Blade GT Play 5G Rugged Smartphone Unlocked with RGB LED Light Effect,Rugged Phone 6.72"" FHD+ 120Hz,6nm D7025 CPU,20GB+256GB, 10.5 mm Ultra-Thin Gaming Phones,5800mAh/50MP AI Camera/NFC",4.7,34.0,Cell Phones & Accessories,Cell Phones,DOOGEE,259.0,-0.32,https://m.media-amazon.com/images/I/81X1dQjyO-L._AC_SX679_.jpg
Google Pixel 8 Pro - Unlocked Android Smartphone with Telephoto Lens and Super Actua Display - 24-Hour Battery - Obsidian - 256 GB (Renewed),4.0,804.0,Cell Phones & Accessories,Cell Phones,Google,106.0,,https://m.media-amazon.com/images/I/61aRO4jJM0L._AC_SX679_.jpg
"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design,US Version, 2024, Awesome Navy (Renewed)",4.0,65.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,374.0,,https://m.media-amazon.com/images/I/61R5WdNY8LL._AC_SX522_.jpg
"DOOGEE S200 Rugged Smartphone 5G Unlocked, 256GB+32GB RAM Rugged Phone with 1.32"" Rear Screen, 10100mAh Battery,6.58"" FHD+ 120Hz Display,100MP + 20MP Night Vision Camera,Dual SIM Waterproof Cell Phone",5.0,5.0,Cell Phones & Accessories,Cell Phones,DOOGEE,349.0,-0.19,https://m.media-amazon.com/images/I/81hivrvL8xL._AC_SX679_.jpg
"SAMSUNG Galaxy S25+ Cell Phone, 256GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, ProScaler Display, Long Battery Life, 2025, Navy (Renewed)",4.2,32.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,719.0,,https://m.media-amazon.com/images/I/61YvMOsT47L._AC_SX679_.jpg
"Apple iPhone 12 Mini 5G, US Version, 128GB, Blue - Unlocked (Renewed)",4.0,15489.0,Cell Phones & Accessories,Cell Phones,Apple,14.0,,https://m.media-amazon.com/images/I/51rmJraBt9L._AC_SX679_.jpg
"DOOGEE S Punk Pro(2025) Rugged Phone,20GB+512GB Android 14 Rugged Cell Phone with 128dB Loudest Speaker,6.6 FHD+ IPS 90Hz,10800mAh Rugged Smartphone,50MP AI Camera,Waterproof Phone,Face Unlock/NFC",4.1,60.0,Cell Phones & Accessories,Cell Phones,DOOGEE,219.0,-0.29,https://m.media-amazon.com/images/I/81Z5dvK1IlL._AC_SX679_.jpg
"Apple iPhone 12 Mini 5G, US Version, 128GB, Blue - Unlocked (Renewed)",4.0,15489.0,Cell Phones & Accessories,Cell Phones,Apple,14.0,,https://m.media-amazon.com/images/I/51rmJraBt9L._AC_SX679_.jpg
"Ulefone Note 21 Cell Phone 2025 Android 14 8GB + 128GB/1TB SD, Octa Core 6.56"" HD+ 2.5D 90Hz, 13P + 8MP Camera 5000mAh Smartphone, 4G Dual SIM Fingerprint + Face ID GPS OTG Phones Unlocked- Black",3.9,34.0,Cell Phones & Accessories,Cell Phones,Ulefone,89.0,,https://m.media-amazon.com/images/I/712LUcUBJCL._AC_SX679_.jpg
"DOOGEE S Punk Pro(2025) Rugged Phone,20GB+512GB Android 14 Rugged Cell Phone with 128dB Loudest Speaker,6.6 FHD+ IPS 90Hz,10800mAh Rugged Smartphone,50MP AI Camera,Waterproof Phone,Face Unlock/NFC",4.1,60.0,Cell Phones & Accessories,Cell Phones,DOOGEE,219.0,-0.29,https://m.media-amazon.com/images/I/81Z5dvK1IlL._AC_SX679_.jpg
"SAMSUNG Galaxy S25+ Cell Phone, 256GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, ProScaler Display, Long Battery Life, 2025, Navy (Renewed)",4.2,32.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,199.0,,https://m.media-amazon.com/images/I/61YvMOsT47L._AC_SX679_.jpg
